"","ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"1","ENSG00000116883.8",-0.408562365797969,0.000553384176891801,0.00186825705444232,0.19,1.2," (1.06-1.38)",8.08,0.00446,"RP11-268J15.5"
"2","ENSG00000117242.7",0.631552676596858,2.48693983649506e-15,0.0826165812150058,-0.26,0.77," (0.577-1.03)",3.06,0.0803,"PINK1-AS"
"3","ENSG00000176912.3",1.6972004771728,1.99196148838483e-24,0.459113867609759,-0.016,0.98," (0.845-1.15)",0.04,0.842,"TYMSOS"
"4","ENSG00000177406.4",0.0326843207751095,0.736409848718576,0.334546626450037,0.15,1.2," (0.887-1.51)",1.16,0.281,"RP11-218M22.1"
"5","ENSG00000179406.6",-1.0163552759813,4.32242404922545e-20,0.0521443771822141,0.33,1.4," (1.12-1.73)",8.72,0.00315,"LINC00174"
"6","ENSG00000179523.4",-0.387347253322946,2.66459241517232e-05,0.0367712972012475,0.55,1.7," (1.2-2.53)",8.49,0.00356,"EIF3J-AS1"
"7","ENSG00000179859.7",-0.0558919100086813,0.526083220671389,0.369357152880142,0.11,1.1," (0.837-1.5)",0.59,0.442,"AC025335.1"
"8","ENSG00000182873.5",-1.32919903813122,2.41245964070907e-34,0.240035653594396,0.21,1.2," (0.996-1.53)",3.68,0.0549,"RP11-181G12.2"
"9","ENSG00000188206.6",-1.7190414951829,5.0929332969535e-39,0.314825006670363,0.093,1.1," (0.928-1.3)",1.18,0.278,"HNRNPU-AS1"
"10","ENSG00000188242.4",0.0627393049559704,0.71829422541256,0.691575769764094,-0.063,0.94," (0.789-1.12)",0.5,0.481,"PP7080"
"11","ENSG00000196741.5",0.247640238045723,0.00406979681093152,0.516776203298637,0.041,1," (0.841-1.29)",0.14,0.709,"LINC01560"
"12","ENSG00000196810.4",0.544475382859816,6.17448251370902e-10,0.119725617197188,-0.21,0.81," (0.53-1.25)",0.88,0.348,"CTBP1-AS2"
"13","ENSG00000197180.2",0.247251996359985,0.00904944722673054,0.0310522542644112,0.15,1.2," (0.908-1.48)",1.42,0.233,"CH17-340M24.3"
"14","ENSG00000198788.8",1.38893951756824,0.000199495192907793,0.181695926488923,-0.032,0.97," (0.914-1.03)",1.21,0.272,"MUC2"
"15","ENSG00000203497.2",-0.538350973983015,1.41479222730722e-08,0.897327727299363,0.028,1," (0.748-1.42)",0.03,0.862,"PDCD4-AS1"
"16","ENSG00000203644.3",0.764477590955705,1.44778618135104e-17,0.265365174991913,0.037,1," (0.835-1.29)",0.11,0.74,"RP11-332M2.1"
"17","ENSG00000203993.4",-0.743671106320102,1.49463371748186e-14,0.00751229976696419,0.59,1.8," (1.22-2.67)",8.74,0.00311,"ARRDC1-AS1"
"18","ENSG00000204282.4",-0.139981919749081,0.212928875729492,0.017583611581913,0.34,1.4," (1.1-1.78)",7.64,0.00571,"TNRC6C-AS1"
"19","ENSG00000204685.6",-0.41713961961274,4.48903258223559e-07,0.172429753980695,0.51,1.7," (1.09-2.54)",5.52,0.0188,"STARD7-AS1"
"20","ENSG00000204860.4",2.50825431894427,3.13977592871058e-43,0.563378439962173,0.16,1.2," (0.989-1.39)",3.38,0.0662,"FAM201A"
"21","ENSG00000204876.4",8.28123395386412,2.75351140681266e-129,0.210845954958445,-0.062,0.94," (0.824-1.07)",0.86,0.354,"AC021218.2"
"22","ENSG00000214049.6",6.81106387619824,5.03573738835923e-97,0.717556807458117,0.0094,1," (0.932-1.09)",0.05,0.819,"UCA1"
"23","ENSG00000214401.4",-0.617154625413028,2.82598555510398e-07,0.683370636745843,0.024,1," (0.864-1.21)",0.08,0.784,"KANSL1-AS1"
"24","ENSG00000215256.3",0.756847305166959,3.58369793979274e-15,0.514555069776227,0.059,1.1," (0.789-1.43)",0.15,0.696,"DHRS4-AS1"
"25","ENSG00000218510.5",0.00381290435990156,0.970099663248112,0.510908517537714,-0.12,0.88," (0.635-1.23)",0.53,0.466,"LINC00339"
"26","ENSG00000221990.4",-0.26136874432555,0.00362522220661453,0.954917870495421,0.15,1.2," (0.9-1.49)",1.32,0.251,"EXOC3-AS1"
"27","ENSG00000222001.2",5.67387367517629,2.57038330605064e-50,0.335801447525836,-0.044,0.96," (0.852-1.07)",0.56,0.453,"AC106876.2"
"28","ENSG00000223478.1",0.816635065630241,3.95091028980565e-14,0.244302072214951,0.077,1.1," (0.87-1.34)",0.49,0.484,"RP11-545E17.3"
"29","ENSG00000223768.1",-0.832462842727498,2.2541194533607e-17,0.110038002553741,0.21,1.2," (0.956-1.58)",2.58,0.108,"LINC00205"
"30","ENSG00000223813.2",2.09623609733026,2.39983563566503e-27,0.71917433350235,0.074,1.1," (0.881-1.31)",0.52,0.47,"AC007255.8"
"31","ENSG00000224138.1",-0.34593754206707,0.000567920421370129,0.994042031231993,0.0087,1," (0.904-1.13)",0.02,0.876,"AC000123.4"
"32","ENSG00000224152.1",-0.522885581656678,9.77520432075522e-10,0.814649425105453,-0.05,0.95," (0.693-1.31)",0.09,0.759,"AC009506.1"
"33","ENSG00000224272.2",1.68807506073908,6.52013484014016e-13,0.0736075637160603,-0.13,0.88," (0.79-0.973)",6.13,0.0133,"AC114730.3"
"34","ENSG00000224961.1",0.594950963155319,0.0724242424277674,0.520362103778083,0.028,1," (0.947-1.12)",0.44,0.506,"RP1-278O22.1"
"35","ENSG00000224975.1",-0.977044968124976,2.0427091008378e-19,0.81465847517611,0.12,1.1," (0.923-1.38)",1.4,0.237,"INE1"
"36","ENSG00000225361.3",0.811809123891735,3.11514671701975e-12,0.203136285432249,0.19,1.2," (0.938-1.55)",2.12,0.145,"PPP1R26-AS1"
"37","ENSG00000225953.2",1.43897277093563,4.75549900598353e-05,0.756163984416738,-0.037,0.96," (0.884-1.05)",0.68,0.409,"SATB2-AS1"
"38","ENSG00000225969.1",2.84069742662515,2.06683955115379e-23,0.180786513059585,-0.046,0.95," (0.825-1.11)",0.38,0.538,"ABHD11-AS1"
"39","ENSG00000226137.5",0.434395518259663,1.89829573739787e-06,0.927407335898175,-0.041,0.96," (0.731-1.26)",0.09,0.766,"BAIAP2-AS1"
"40","ENSG00000226332.2",-1.9957730936977,9.48895541232521e-43,0.0105699079392717,0.25,1.3," (1.05-1.59)",5.7,0.017,"RP11-157P1.4"
"41","ENSG00000226465.1",0.464739688547624,0.0785626826208928,0.501443094353328,-0.042,0.96," (0.908-1.01)",2.31,0.129,"RP13-401N8.1"
"42","ENSG00000226812.2",5.65432475927099,1.39863633559483e-50,0.934796232641869,-0.032,0.97," (0.868-1.08)",0.34,0.561,"RP5-881L22.5"
"43","ENSG00000227053.1",1.94517481743126,5.11519195458212e-22,0.423036031785826,0.062,1.1," (0.921-1.23)",0.71,0.399,"RP11-395B7.4"
"44","ENSG00000227359.1",2.30306346921089,1.76989017230888e-23,0.579550012586791,-0.045,0.96," (0.87-1.05)",0.87,0.35,"AC017074.2"
"45","ENSG00000227403.1",4.27480357261795,1.00857618890567e-52,0.946249069290044,-0.06,0.94," (0.828-1.07)",0.83,0.361,"AC009299.3"
"46","ENSG00000227540.1",0.00866217161930671,0.930142314291527,0.438585705166391,0.18,1.2," (0.944-1.53)",2.23,0.135,"RP11-152N13.5"
"47","ENSG00000227946.1",-0.260199057414543,0.00531254552761634,0.158129109335899,0.042,1," (0.871-1.25)",0.21,0.645,"AC007383.3"
"48","ENSG00000228037.1",0.689532602270219,0.00011686605435889,0.944515328692242,-0.033,0.97," (0.828-1.13)",0.18,0.672,"RP3-395M20.9"
"49","ENSG00000228109.1",-0.436538403748642,0.000101392122586086,0.022787130218061,0.28,1.3," (1.05-1.66)",5.79,0.0161,"MFI2-AS1"
"50","ENSG00000228223.2",-0.67147785712408,2.49736876392113e-08,0.345183270250104,0.022,1," (0.887-1.18)",0.09,0.76,"HCG11"
"51","ENSG00000228343.1",0.269706880006015,0.00217484678626466,0.0310593977116755,-0.062,0.94," (0.794-1.11)",0.53,0.468,"RP11-1148L6.5"
"52","ENSG00000228393.3",-0.983890836639115,4.77990454863517e-16,0.526811214496021,0.078,1.1," (0.92-1.27)",0.89,0.345,"LINC01004"
"53","ENSG00000228439.4",-0.213441554574118,0.00719366949305137,0.419435410223345,-0.04,0.96," (0.794-1.16)",0.17,0.676,"TSTD3"
"54","ENSG00000228801.5",0.754359543060113,1.34502733337546e-17,0.245259798057862,-0.018,0.98," (0.744-1.3)",0.02,0.897,"RP11-110G21.1"
"55","ENSG00000228989.1",0.113700815908357,0.271091957902627,0.646888300241058,0.19,1.2," (0.945-1.54)",2.27,0.132,"AC133528.2"
"56","ENSG00000229043.2",0.380228505473099,0.000275947632656336,0.197822282028978,0.12,1.1," (0.886-1.44)",0.97,0.324,"AC091729.9"
"57","ENSG00000229152.2",-0.580248714645514,6.13497813866329e-07,0.193480147492461,0.071,1.1," (0.939-1.23)",1.08,0.298,"ANKRD10-IT1"
"58","ENSG00000229167.1",1.73903402290895,8.9704028786202e-22,0.424489752422263,0.025,1," (0.904-1.16)",0.15,0.701,"RP11-73M7.1"
"59","ENSG00000229180.5",-1.54749092275241,1.24491089907634e-45,0.131430077983175,0.24,1.3," (0.993-1.62)",3.62,0.057,"GS1-124K5.11"
"60","ENSG00000229334.1",0.729592584374505,5.86488678982098e-12,0.605388798806505,-0.096,0.91," (0.674-1.22)",0.4,0.528,"AC046143.3"
"61","ENSG00000229719.3",1.97998057851679,2.31868769126125e-12,0.768112440601542,0.066,1.1," (0.881-1.3)",0.45,0.5,"AP001187.9"
"62","ENSG00000229891.1",1.03640483147317,7.52566794718748e-20,0.593273786357916,-0.086,0.92," (0.778-1.08)",1.03,0.311,"LINC01315"
"63","ENSG00000229931.1",-0.380062399254903,0.00112990670215533,0.14261252443759,0.069,1.1," (0.912-1.26)",0.7,0.402,"RP1-151F17.1"
"64","ENSG00000229953.1",4.88016600365385,3.05814510819494e-66,0.35169787114869,0.0092,1," (0.829-1.23)",0.01,0.927,"RP11-284F21.7"
"65","ENSG00000230082.1",1.1295791665767,1.22658382203695e-22,0.778463774192606,0.015,1," (0.846-1.22)",0.03,0.872,"PRRT3-AS1"
