"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"GTEX.WQUQ.2526.SM.4MVNO","NonTumor",2.1766,0.8883,2.4198,2.1213,4.8817,2.5163,1.125
"TCGA.D5.6929.01","Tumor",-1.2142,2.6647,4.1676,-0.2159,2.8936,2.3732,1.0293
"TCGA.AA.3511.01","Tumor",0.7321,3.0163,0.8961,2.183,2.0111,2.1213,1.6281
"GTEX.13G51.2126.SM.5IJD9","NonTumor",1.3901,0.7233,1.2576,-6.5064,4.1376,3.1095,-9.9658
"TCGA.QG.A5YX.01","Tumor",-0.9971,2.0465,3.0056,0.6608,1.2875,2.1378,4.0601
"GTEX.1122O.1526.SM.5N9CL","NonTumor",1.3283,0.8568,5.6023,2.3106,2.8641,3.0619,3.2988
"TCGA.F4.6704.11","NonTumor",-0.0277,0.4865,1.9415,4.1539,2.4359,1.7229,3.3293
"GTEX.UPIC.1726.SM.4IHKG","NonTumor",1.5514,0.7233,3.0515,1.9034,3.4907,2.8341,1.8242
"TCGA.CM.6164.01","Tumor",-0.2498,0.6699,1.7912,-0.6193,1.692,2.4332,3.0671
"TCGA.A6.A567.01","Tumor",-0.0574,2.8442,-0.4131,1.3511,2.3308,1.8957,2.1734
"TCGA.AA.3516.11","NonTumor",2.3394,0.2522,3.4556,0.4016,2.5213,2.8562,1.8201
"TCGA.G4.6320.01","Tumor",0.03,-9.9658,3.4398,4.3335,3.8218,3.8401,3.5047
"GTEX.146FH.2426.SM.5Q5EW","NonTumor",1.177,0.9642,0.517,-1.3921,4.5161,2.7993,-0.0425
"GTEX.ZTSS.1126.SM.5985O","NonTumor",0.4657,0.679,3.1813,0.6608,3.0893,2.5263,2.753
"GTEX.13N2G.2226.SM.5IJCU","NonTumor",0.7999,0.2154,1.4547,-6.5064,4.0756,2.7657,-9.9658
"TCGA.AY.A69D.01","Tumor",-2.5479,-3.458,1.6093,2.004,1.595,1.6466,2.9432
"TCGA.AY.A8YK.01","Tumor",-0.8599,1.4174,2.5263,2.0535,2.9875,3.2722,2.8582
"GTEX.ZYFC.2626.SM.5NQ6S","NonTumor",0.9191,0.4761,1.0573,-2.6349,3.3264,2.6918,-0.5973
"TCGA.F4.6806.01","Tumor",0.0014,-0.2159,2.4279,3.3278,2.9052,1.3397,3.0411
"TCGA.5M.AAT4.01","Tumor",-0.2845,-2.2447,4.309,1.7489,2.183,4.0216,0.4967
"TCGA.CM.6167.01","Tumor",2.3019,0.7832,0.6239,1.9712,3.0127,2.0979,1.7617
"GTEX.ZDYS.2326.SM.4WKG6","NonTumor",0.4657,0.8568,3.9947,2.4805,2.676,2.4934,2.4332
"TCGA.AZ.6603.01","Tumor",-0.1993,2.4597,2.3019,0.9568,2.9839,2.4571,1.1316
"GTEX.ZAB5.1426.SM.5HL9D","NonTumor",0.03,0.4657,2.2573,-6.5064,4.6938,1.9601,-2.2447
"GTEX.12WSG.2426.SM.5EQLZ","NonTumor",2.05,-0.9132,1.9073,-5.0116,4.3385,2.9784,-2.7274
"TCGA.CM.6168.01","Tumor",-0.2498,-0.1504,2.296,1.9034,2.6348,2.328,-0.2159
"TCGA.G4.6314.01","Tumor",-0.5332,1.7097,3.2766,3.0163,2.6533,2.2391,-0.6873
"GTEX.ZTSS.1226.SM.51MSZ","NonTumor",0.8805,-0.6643,1.4011,-9.9658,4.4283,2.5585,-5.5735
"GTEX.13X6I.2726.SM.5Q5ET","NonTumor",1.5854,0.03,4.6177,-5.5735,4.3562,2.5972,-1.5522
"TCGA.F4.6808.01","Tumor",-0.2328,2.9375,2.1247,1.8762,2.3788,3.0671,2.6895
"TCGA.AZ.4615.01","Tumor",0.2998,-2.3147,3.3003,2.081,3.1604,2.6487,0.9642
"TCGA.AY.6386.01","Tumor",-1.1488,1.8282,3.9792,1.5854,2.2901,1.6875,2.0289
"TCGA.AZ.6598.01","Tumor",-0.6193,-3.3076,2.694,6.1725,4.1119,2.8096,-2.8262
"TCGA.A6.6653.01","Tumor",-1.0862,-2.3884,3.6393,4.3249,3.0706,2.7029,3.6566
"TCGA.NH.A50V.01","Tumor",-3.3076,-0.1828,2.409,1.8683,3.3163,2.7868,2.2663
"TCGA.AD.6899.01","Tumor",0.6517,3.2251,3.9728,0.9115,2.9071,2.5487,1.8484
"GTEX.WFG8.1726.SM.5CHTE","NonTumor",-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
"TCGA.G4.6311.01","Tumor",0.1124,1.3283,2.5313,-0.6416,2.0147,2.8701,1.0779
"GTEX.13OW5.2626.SM.5MR3M","NonTumor",1.3511,0.4657,4.2103,0.6425,3.831,2.5213,0.24
"TCGA.A6.2683.11","NonTumor",1.9859,1.5216,2.3164,1.595,2.5313,2.8199,2.9525
"TCGA.DM.A280.01","Tumor",0.4125,0.1648,3.1112,0.3685,2.4908,2.8858,2.0465
"TCGA.NH.A6GC.01","Tumor",1.0779,0.5763,4.2111,5.8583,2.6805,3.2826,2.6918
"TCGA.F4.6570.01","Tumor",2.2663,-0.9686,2.5213,-1.5951,2.1378,3.1844,-3.1714
"TCGA.CM.6679.01","Tumor",0.8246,1.1833,1.6466,0.8164,1.7617,2.2237,1.2516
"TCGA.A6.4105.01","Tumor",0.5069,2.6043,2.3135,1.3225,2.4171,1.766,0.9343
"GTEX.WH7G.1426.SM.4LVMU","NonTumor",2.2663,1.4441,4.2951,2.4985,3.5086,2.5731,2.3704
"GTEX.WHWD.1226.SM.4OOS1","NonTumor",-0.1031,2.1894,4.9165,2.5876,3.0791,2.5087,2.9618
"TCGA.D5.5538.01","Tumor",-0.3022,2.8974,2.8422,-1.3183,3.6983,2.7029,1.3283
"GTEX.11ONC.2026.SM.5HL61","NonTumor",1.196,0.0158,2.118,-1.3921,3.5982,1.8282,-3.1714
"GTEX.ZE7O.2626.SM.51MSS","NonTumor",0.8488,0.7321,1.7273,-6.5064,3.7836,2.9413,-4.6082
"TCGA.NH.A50U.01","Tumor",0.2881,0.9115,4.0985,-0.8863,2.6738,2.9262,1.3225
"TCGA.D5.6924.01","Tumor",0.3115,2.6738,1.9264,0.8568,2.8014,1.8524,0.7058
"TCGA.D5.6931.01","Tumor",1.2023,-0.4325,3.074,2.8137,1.8078,1.9149,0.4865
"GTEX.11P82.1226.SM.5HL5P","NonTumor",0.9115,-0.1187,1.8762,-9.9658,2.824,1.5366,-1.3548
"TCGA.A6.5656.01","Tumor",0.864728668407,-3.4060791306,0.966664592075,0.0393568238621,1.39745050175,1.61085565697,1.11612773745
"TCGA.A6.6649.01","Tumor",0.24,3.3979,1.8524,3.4224,2.6464,2.6602,1.8323
"GTEX.Y3I4.1426.SM.4TT9C","NonTumor",1.0503,0.3796,1.4174,-3.3076,3.8837,2.2206,-3.1714
"GTEX.R55G.1226.SM.48FDC","NonTumor",0.5666,1.6466,5.8902,2.4701,3.453,2.5288,3.0446
"GTEX.1211K.1726.SM.5FQUJ","NonTumor",1.3454,0.9419,5.2169,2.0844,1.7403,3.0995,2.9375
"GTEX.11TT1.0926.SM.5GU5M","NonTumor",-1.2481,1.2271,-0.394,-2.9324,3.0533,0.517,-2.2447
"TCGA.AA.3518.11","NonTumor",1.334,1.7617,3.1344,0.8408,1.8762,3.1987,2.753
"GTEX.12ZZY.2726.SM.5EQ45","NonTumor",1.7009,0.7916,1.8119,-4.6082,3.7571,2.578,-1.9379
"GTEX.Y5V6.1626.SM.4VDT2","NonTumor",2.4306,1.6604,5.7043,3.2692,2.7951,2.3732,3.9204
"GTEX.13PVQ.2726.SM.5L3H7","NonTumor",2.004,-0.1665,1.46,-1.5522,3.8054,3.2267,-2.6349
"TCGA.DM.A0X9.01","Tumor",-2.114,-3.816,1.1117,1.6093,1.4808,1.0642,1.8762
"TCGA.DM.A28G.01","Tumor",0.1257,0.4761,2.727,3.5362,2.9469,1.9931,2.1047
"GTEX.PX3G.1426.SM.48U1J","NonTumor",2.2633,1.2455,3.4411,1.4962,3.7313,2.4597,2.0979
"TCGA.F4.6703.01","Tumor",-0.8084,1.0222,2.2633,-1.5522,2.5363,0.9789,-1.0862
"GTEX.WFON.1426.SM.5CHT1","NonTumor",-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
"GTEX.11O72.2226.SM.5PNW2","NonTumor",2.971,0.2881,3.991,-4.035,3.3661,1.6512,-1.9942
"TCGA.AA.3492.01","Tumor",-0.1504,-2.1779,3.0944,0.8488,4.9336,2.9488,-0.1031
"TCGA.G4.6293.01","Tumor",-1.0862,-2.0529,2.4908,-0.2845,2.1734,2.0878,1.7786
"TCGA.AA.3531.11","NonTumor",0.2522,0.3796,2.872,1.6234,2.1766,2.9893,2.4623
"TCGA.DM.A28E.01","Tumor",-0.9406,0.605,0.6699,-0.1504,1.4962,1.8282,3.4752
"TCGA.CK.6747.01","Tumor",-1.1488,1.7273,3.5863,2.3871,2.3337,1.3623,1.4388
"TCGA.CK.4947.01","Tumor",-0.5973,-1.7809,1.4911,2.2113,1.8918,2.4171,1.3679
"TCGA.AD.6888.01","Tumor",0.3796,2.6556,4.3744,2.0844,2.4386,1.8363,3.5009
"TCGA.F4.6809.01","Tumor",2.2482,-0.5973,3.8002,2.9857,2.7073,3.0234,2.4701
"TCGA.CK.5914.01","Tumor",1.4494,3.4635,1.6093,2.7951,1.8801,1.4335,1.0007
"TCGA.AZ.4313.01","Tumor",0.537,-1.5951,3.2557,4.865,3.7507,1.7446,2.2783
