"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000269416.4",0.0092,1," (0.871-1.17)",0.01,0.903,"LINC01224"
"ENSG00000275479.1",0.036,1," (0.954-1.13)",0.71,0.398,"RP11-334C17.6"
"ENSG00000273055.1",0.14,1.1," (0.968-1.36)",2.51,0.113,"CTB-13F3.1"
"ENSG00000269680.1",0.34,1.4," (1.1-1.79)",7.51,0.00614,"CTD-3128G10.6"
"ENSG00000271824.1",0.0084,1," (0.94-1.08)",0.05,0.815,"AC009014.3"
"ENSG00000237424.1",0.099,1.1," (0.887-1.37)",0.78,0.377,"FOXD2-AS1"
"ENSG00000226824.5",0.23,1.3," (1-1.58)",3.9,0.0483,"RP4-756H11.3"
"ENSG00000255153.1",0.14,1.1," (0.899-1.47)",1.22,0.269,"TOLLIP-AS1"
"ENSG00000261663.1",0.075,1.1," (0.876-1.33)",0.5,0.479,"RP11-304L19.11"
"ENSG00000255774.1",-0.036,0.96," (0.857-1.09)",0.36,0.549,"AP000439.3"
"ENSG00000239911.2",0.073,1.1," (0.953-1.21)",1.4,0.237,"PRKAG2-AS1"
"ENSG00000272079.2",-0.044,0.96," (0.822-1.12)",0.31,0.576,"LA16c-380H5.5"
"ENSG00000224870.5",0.061,1.1," (0.732-1.54)",0.1,0.748,"RP4-758J18.2"
"ENSG00000270015.1",0.33,1.4," (1.05-1.85)",5.23,0.0222,"RP11-540B6.6"
"ENSG00000227719.1",0.13,1.1," (0.956-1.35)",2.13,0.145,"AC006042.6"
"ENSG00000272335.1",0.077,1.1," (0.849-1.38)",0.39,0.531,"RP11-53O19.3"
"ENSG00000256073.3",0.2,1.2," (0.925-1.62)",1.99,0.158,"URB1-AS1"
"ENSG00000249042.4",-0.044,0.96," (0.714-1.28)",0.09,0.767,"CTD-2015H6.3"
"ENSG00000245910.7",0.028,1," (0.774-1.37)",0.04,0.845,"SNHG6"
"ENSG00000215190.7",0.3,1.3," (0.996-1.82)",3.75,0.0528,"LINC00680"
"ENSG00000235280.2",0.16,1.2," (0.969-1.41)",2.67,0.102,"MCF2L-AS1"
"ENSG00000273366.1",-0.065,0.94," (0.78-1.12)",0.49,0.483,"CTA-989H11.1"
"ENSG00000273151.1",0.2,1.2," (1.02-1.46)",4.92,0.0265,"RP11-449P15.2"
"ENSG00000254166.1",-0.00098,1," (0.867-1.15)",0,0.989,"CASC19"
"ENSG00000279207.1",-0.066,0.94," (0.722-1.21)",0.24,0.621,"RP11-159D12.8"
"ENSG00000117242.7",-0.26,0.77," (0.577-1.03)",3.06,0.0803,"PINK1-AS"
"ENSG00000263335.1",-0.038,0.96," (0.814-1.14)",0.2,0.657,"AF001548.5"
"ENSG00000272667.1",0.29,1.3," (0.994-1.79)",3.69,0.0547,"RP11-395A13.2"
"ENSG00000274213.1",0.025,1," (0.877-1.2)",0.1,0.755,"RP11-670E13.6"
"ENSG00000237883.1",0.044,1," (0.862-1.27)",0.2,0.655,"DGUOK-AS1"
"ENSG00000234072.1",0.23,1.3," (0.954-1.66)",2.65,0.104,"AC074117.10"
"ENSG00000253716.4",0.16,1.2," (0.932-1.48)",1.86,0.173,"RP13-582O9.5"
"ENSG00000272189.1",-0.076,0.93," (0.716-1.2)",0.34,0.562,"RP3-325F22.5"
"ENSG00000238058.1",0.019,1," (0.886-1.17)",0.07,0.785,"RP11-432J22.2"
"ENSG00000224152.1",-0.05,0.95," (0.693-1.31)",0.09,0.759,"AC009506.1"
"ENSG00000267493.3",0.12,1.1," (0.907-1.41)",1.19,0.275,"CIRBP-AS1"
"ENSG00000197180.2",0.15,1.2," (0.908-1.48)",1.42,0.233,"CH17-340M24.3"
"ENSG00000254635.4",0.1,1.1," (0.804-1.53)",0.4,0.527,"WAC-AS1"
"ENSG00000230061.2",-0.0052,0.99," (0.921-1.07)",0.02,0.894,"TRPM2-AS"
"ENSG00000269640.4",0.12,1.1," (0.955-1.33)",2,0.157,"CTD-2521M24.9"
"ENSG00000256537.3",0.046,1," (0.668-1.64)",0.04,0.841,"RP11-785H5.1"
"ENSG00000240449.1",0.054,1.1," (0.86-1.3)",0.27,0.603,"RP4-584D14.5"
"ENSG00000273014.1",0.017,1," (0.877-1.18)",0.05,0.82,"RP11-225B17.2"
"ENSG00000224597.8",0.15,1.2," (0.809-1.67)",0.66,0.418,"SVIL-AS1"
"ENSG00000273179.1",0.16,1.2," (1-1.39)",3.87,0.0491,"RP11-20I20.4"
"ENSG00000263004.1",-0.031,0.97," (0.787-1.19)",0.09,0.77,"RP11-166P13.3"
"ENSG00000249395.2",0.1,1.1," (1-1.22)",4.09,0.043,"CASC9"
"ENSG00000229334.1",-0.096,0.91," (0.674-1.22)",0.4,0.528,"AC046143.3"
"ENSG00000260804.3",-0.16,0.85," (0.675-1.08)",1.79,0.181,"PKI55"
"ENSG00000238123.1",-0.062,0.94," (0.847-1.04)",1.35,0.245,"MID1IP1-AS1"
"ENSG00000196810.4",-0.21,0.81," (0.53-1.25)",0.88,0.348,"CTBP1-AS2"
"ENSG00000253930.1",-0.083,0.92," (0.818-1.04)",1.91,0.167,"RP11-1149O23.2"
"ENSG00000266962.2",0.22,1.2," (0.882-1.77)",1.57,0.21,"RP11-400F19.6"
"ENSG00000271895.2",0.033,1," (0.859-1.25)",0.12,0.725,"RP4-635E18.8"
"ENSG00000188185.10",0.16,1.2," (0.945-1.47)",2.13,0.145,"LINC00265"
"ENSG00000267080.4",0.31,1.4," (0.946-1.96)",2.76,0.0969,"ASB16-AS1"
"ENSG00000260552.1",0.11,1.1," (0.932-1.33)",1.38,0.239,"RP11-49I11.1"
"ENSG00000272644.1",-0.052,0.95," (0.747-1.21)",0.18,0.668,"RP11-33O4.1"
"ENSG00000230082.1",0.015,1," (0.846-1.22)",0.03,0.872,"PRRT3-AS1"
"ENSG00000130600.14",0.071,1.1," (0.988-1.17)",2.8,0.0941,"H19"
"ENSG00000227070.1",-0.065,0.94," (0.809-1.09)",0.75,0.385,"RP11-191G24.1"
"ENSG00000277662.1",0.023,1," (0.9-1.16)",0.13,0.722,"RP11-74J13.9"
"ENSG00000254860.4",0.19,1.2," (0.95-1.53)",2.35,0.125,"TMEM9B-AS1"
"ENSG00000273344.1",0.25,1.3," (0.962-1.72)",2.89,0.089,"PAXIP1-AS1"
"ENSG00000251026.1",0.01,1," (0.951-1.07)",0.11,0.739,"RP11-138J23.1"
"ENSG00000265688.1",0.028,1," (0.803-1.32)",0.05,0.823,"MAFG-AS1"
"ENSG00000238142.1",0.012,1," (0.902-1.14)",0.04,0.839,"RP11-108M9.4"
"ENSG00000269910.1",0.0067,1," (0.875-1.16)",0.01,0.925,"RP11-73M18.10"
"ENSG00000204272.9",0.28,1.3," (0.961-1.82)",2.94,0.0863,"LINC01420"
"ENSG00000261685.2",0.024,1," (0.925-1.13)",0.21,0.648,"RP11-401P9.4"
"ENSG00000226476.2",0.033,1," (0.963-1.11)",0.85,0.358,"RP11-776H12.1"
"ENSG00000259943.1",0.052,1.1," (0.808-1.37)",0.15,0.702,"RP1-39G22.7"
"ENSG00000278133.1",0.15,1.2," (0.801-1.7)",0.65,0.421,"RP11-196G11.5"
"ENSG00000253187.2",-0.049,0.95," (0.863-1.05)",0.94,0.332,"HOXA10-AS"
"ENSG00000272301.1",0.05,1.1," (0.936-1.18)",0.7,0.401,"RP11-111M22.4"
"ENSG00000281406.1",0.056,1.1," (0.932-1.2)",0.75,0.386,"BLACAT1"
"ENSG00000278978.1",-0.13,0.87," (0.66-1.16)",0.87,0.35,"RP11-164P12.5"
"ENSG00000272556.1",0.13,1.1," (0.993-1.3)",3.44,0.0638,"RP11-638I8.1"
"ENSG00000230177.1",0.11,1.1," (0.912-1.38)",1.17,0.279,"RP5-1112D6.4"
"ENSG00000275632.1",0.054,1.1," (0.913-1.22)",0.54,0.464,"RP5-967N21.11"
"ENSG00000180861.8",0.059,1.1," (0.927-1.21)",0.74,0.39,"LINC01559"
"ENSG00000261512.2",0.099,1.1," (0.91-1.34)",1.01,0.315,"RP11-46D6.1"
