term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
1100 age 0.0061 1  (0.988-1.02) 0.43 0.513
219 gender -0.092 0.91  (0.567-1.47) 0.14 0.704
3100 venous.invasion 1 2.8  (1.63-4.7) 14.1 0.00017
4 preoperative.CEA 0.00089 1  (1-1) 6.52 0.0107
5 perineural.invasion 0.67 2  (0.899-4.29) 2.86 0.0906
6 lymphatic.invasion 0.63 1.9  (1.12-3.18) 5.62 0.0177
7 TPTEP1 0.32 1.4  (1.11-1.72) 8.23 0.00411
8 CYB561D2 -0.032 0.97  (0.925-1.01) 1.92 0.166
9 DLEU2L -0.51 0.6  (0.134-2.67) 0.45 0.501
10 PINK1.AS -0.27 0.77  (0.533-1.1) 2.07 0.151
11 C10orf95 0.15 1.2  (0.924-1.47) 1.67 0.197
12 MMP24.AS1 -0.015 0.98  (0.953-1.02) 0.83 0.363
13 RGS5 0.0014 1  (0.981-1.02) 0.02 0.895
14 LINC00525 0.14 1.2  (0.814-1.63) 0.63 0.427
15 PART1 -0.4 0.67  (0.299-1.51) 0.93 0.335
16 LINC00467 -0.013 0.99  (0.775-1.26) 0.01 0.914
17 LINC01116 0.1 1.1  (0.958-1.29) 1.92 0.166
18 C10orf25 0.2 1.2  (0.599-2.52) 0.31 0.576
19 ZNF667.AS1 0.23 1.3  (0.728-2.18) 0.68 0.409
20 LINC00483 0.04 1  (0.943-1.15) 0.62 0.43
21 TPT1.AS1 0.0079 1  (0.834-1.22) 0.01 0.934
22 CCDC13.AS1 -0.21 0.81  (0.0793-8.22) 0.03 0.857
23 C20orf166.AS1 0.16 1.2  (0.563-2.43) 0.18 0.675
24 TMEM51.AS1 0.83 2.3  (1.17-4.49) 5.86 0.0155
25 LINC00476 0.35 1.4  (0.779-2.6) 1.31 0.252
26 TYMSOS -0.041 0.96  (0.817-1.13) 0.25 0.615
27 LINC00982 0.37 1.4  (0.389-5.4) 0.31 0.58
28 C8orf31 0.36 1.4  (0.914-2.25) 2.47 0.116
29 DLGAP1.AS1 -0.049 0.95  (0.826-1.1) 0.47 0.495
30 ZFAS1 -0.00035 1  (0.994-1) 0.02 0.896
31 CASC2 -0.77 0.46  (0.0617-3.47) 0.56 0.453
32 ADORA2A.AS1 -0.46 0.63  (0.0496-8.11) 0.12 0.726
33 LINC00324 -0.098 0.91  (0.663-1.24) 0.38 0.537
34 LINC00174 0.44 1.6  (1.21-2.01) 11.8 0.000603
35 EIF3J.AS1 0.39 1.5  (1.15-1.9) 9.22 0.00239
36 FLJ37453 0.48 1.6  (1.15-2.27) 7.6 0.00584
37 PCBP1.AS1 -0.088 0.92  (0.525-1.6) 0.1 0.756
38 C10orf91 0.064 1.1  (0.915-1.24) 0.67 0.412
39 ACTA2.AS1 0.01 1  (0.791-1.29) 0.01 0.936
40 LINC00304 0.29 1.3  (0.000684-2590) 0.01 0.941
41 WDFY3.AS2 -0.16 0.85  (0.131-5.57) 0.03 0.868
42 CELF2.AS1 -0.34 0.71  (0.314-1.62) 0.65 0.42
43 OGFRP1 -0.18 0.83  (0.482-1.44) 0.43 0.514
