"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000116883.8",-0.408562365797969,0.000553384176891799,0.00377454770815146,0.18,1.2,"(1.05-1.36)","7.36","0.00668",7.36,0.00668,"RP11-268J15.5"
"ENSG00000117242.7",0.631552676596858,2.48693983649506e-15,0.100823635982323,-0.26,0.77,"(0.581-1.03)","3.16","0.0755",3.16,0.0755,"PINK1-AS"
"ENSG00000176912.3",1.6972004771728,1.99196148838483e-24,0.680935835119018,0.0027,1,"(0.861-1.17)","0","0.972",0,0.972,"TYMSOS"
"ENSG00000177406.4",0.0326843207751095,0.736409848718575,0.164985908204784,0.19,1.2,"(0.931-1.57)","2.03","0.154",2.03,0.154,"RP11-218M22.1"
"ENSG00000179406.6",-1.0163552759813,4.32242404922545e-20,0.0515970570633847,0.31,1.4,"(1.11-1.7)","8.26","0.00405",8.26,0.00405,"LINC00174"
"ENSG00000179523.4",-0.387347253322946,2.66459241517232e-05,0.0821890864714849,0.5,1.7,"(1.15-2.38)","7.3","0.0069",7.3,0.0069,"EIF3J-AS1"
"ENSG00000179859.7",-0.0558919100086813,0.526083220671389,0.378288669597486,0.13,1.1,"(0.856-1.52)","0.81","0.367",0.81,0.367,"AC025335.1"
"ENSG00000182873.5",-1.32919903813122,2.41245964070907e-34,0.256012280851134,0.21,1.2,"(0.995-1.52)","3.66","0.0556",3.66,0.0556,"RP11-181G12.2"
"ENSG00000188206.6",-1.7190414951829,5.0929332969535e-39,0.469309287035342,0.076,1.1,"(0.917-1.27)","0.84","0.36",0.84,0.36,"HNRNPU-AS1"
"ENSG00000188242.4",0.0627393049559704,0.71829422541256,0.697591546001834,-0.068,0.93,"(0.787-1.11)","0.61","0.435",0.61,0.435,"PP7080"
"ENSG00000196741.5",0.247640238045723,0.00406979681093152,0.776325982235919,0.013,1,"(0.831-1.24)","0.02","0.895",0.02,0.895,"LINC01560"
"ENSG00000196810.4",0.544475382859816,6.17448251370902e-10,0.128035440173677,-0.22,0.8,"(0.528-1.22)","1.04","0.307",1.04,0.307,"CTBP1-AS2"
"ENSG00000197180.2",0.247251996359985,0.00904944722673054,0.0945903929212305,0.089,1.1,"(0.861-1.39)","0.53","0.467",0.53,0.467,"CH17-340M24.3"
"ENSG00000198788.8",1.38893951756824,0.000199495192907793,0.383920770690002,-0.022,0.98,"(0.923-1.04)","0.57","0.449",0.57,0.449,"MUC2"
"ENSG00000203497.2",-0.538350973983015,1.41479222730722e-08,0.533543862545932,0.1,1.1,"(0.807-1.52)","0.39","0.531",0.39,0.531,"PDCD4-AS1"
"ENSG00000203644.3",0.764477590955705,1.44778618135104e-17,0.289948129113887,0.055,1.1,"(0.845-1.32)","0.23","0.632",0.23,0.632,"RP11-332M2.1"
"ENSG00000203993.4",-0.743671106320102,1.49463371748186e-14,0.0108877535754541,0.56,1.8,"(1.2-2.58)","8.35","0.00385",8.35,0.00385,"ARRDC1-AS1"
"ENSG00000204282.4",-0.139981919749081,0.212928875729492,0.00575630877028642,0.37,1.4,"(1.14-1.82)","9.38","0.0022",9.38,0.0022,"TNRC6C-AS1"
"ENSG00000204685.6",-0.41713961961274,4.48903258223559e-07,0.381990904605515,0.45,1.6,"(1.04-2.38)","4.56","0.0326",4.56,0.0326,"STARD7-AS1"
"ENSG00000204860.4",2.50825431894427,3.13977592871058e-43,0.559370903717768,0.14,1.1,"(0.974-1.35)","2.72","0.0993",2.72,0.0993,"FAM201A"
"ENSG00000204876.4",8.28123395386412,2.75351140681266e-129,0.153302956317955,-0.075,0.93,"(0.818-1.05)","1.35","0.245",1.35,0.245,"AC021218.2"
"ENSG00000214049.6",6.81106387619824,5.03573738835894e-97,0.706498618871503,0.009,1,"(0.933-1.09)","0.05","0.823",0.05,0.823,"UCA1"
"ENSG00000214401.4",-0.617154625413028,2.82598555510398e-07,0.81994949047822,0.012,1,"(0.857-1.2)","0.02","0.887",0.02,0.887,"KANSL1-AS1"
"ENSG00000215256.3",0.756847305166959,3.58369793979274e-15,0.52327592238137,0.076,1.1,"(0.807-1.44)","0.26","0.61",0.26,0.61,"DHRS4-AS1"
"ENSG00000218510.5",0.00381290435990156,0.970099663248112,0.682862461297384,-0.13,0.88,"(0.637-1.22)","0.6","0.44",0.6,0.44,"LINC00339"
"ENSG00000221990.4",-0.26136874432555,0.00362522220661453,0.954385147547673,0.15,1.2,"(0.906-1.49)","1.39","0.238",1.39,0.238,"EXOC3-AS1"
"ENSG00000222001.2",5.67387367517629,2.57038330605064e-50,0.231405548326789,-0.049,0.95,"(0.851-1.07)","0.73","0.393",0.73,0.393,"AC106876.2"
"ENSG00000223478.1",0.816635065630241,3.95091028980565e-14,0.101202327072907,0.1,1.1,"(0.893-1.38)","0.87","0.351",0.87,0.351,"RP11-545E17.3"
"ENSG00000223768.1",-0.832462842727498,2.2541194533607e-17,0.159428843455053,0.18,1.2,"(0.938-1.52)","2.08","0.149",2.08,0.149,"LINC00205"
"ENSG00000223813.2",2.09623609733026,2.39983563566494e-27,0.758517520677272,0.056,1.1,"(0.873-1.28)","0.32","0.569",0.32,0.569,"AC007255.8"
