logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000230910.2 -8.31781095361486 -2.52389721052038 -39.8763316477647 8.41759159255486e-177 8.56069064962829e-174 393.922721470258 RP3-525N10.2 ENSG00000230910.2
ENSG00000247844.1 8.34765892754176 -2.67763756291617 38.9237192782571 5.4855686624085e-172 3.48676458104341e-169 382.863551049858 CCAT1 ENSG00000247844.1
ENSG00000224958.5 -10.2030251489892 -0.405112988727908 -34.3471416985323 3.36948823554237e-147 7.78811258078771e-145 325.913385289412 PGM5-AS1 ENSG00000224958.5
ENSG00000265688.1 2.99909065824062 0.0537850725772887 34.0352254917261 1.46554615532173e-146 3.24013139122217e-144 324.438898311323 MAFG-AS1 ENSG00000265688.1
ENSG00000236081.1 8.44563465160793 -1.33748200586859 33.9012925298668 9.76180026550302e-146 2.0974121556373e-143 322.547163928595 ELFN1-AS1 ENSG00000236081.1
ENSG00000174403.15 -7.40790114252599 -0.789714425454601 -33.435083015683 4.16525442788622e-143 7.94261953717554e-141 316.503947724933 C20orf166-AS1 ENSG00000174403.15
ENSG00000237125.8 -6.93115855726047 0.974719830500144 -31.9775553981384 1.1350239992537e-134 1.60322139894585e-132 297.122987559774 HAND2-AS1 ENSG00000237125.8
ENSG00000204876.4 8.28123395386412 -2.19610554514984 31.2128970737639 2.18403723516442e-131 2.75351140681266e-129 289.567301127712 AC021218.2 ENSG00000204876.4
ENSG00000245694.8 3.8883342063522 0.253460149162628 30.4542703810873 2.94251678265115e-127 2.78808034281636e-125 280.076335190224 CRNDE ENSG00000245694.8
ENSG00000261616.1 -5.17058174927346 -0.382112184349504 -30.4356205975641 3.71941666765331e-127 3.50245069537353e-125 279.842462080934 RP11-6O2.3 ENSG00000261616.1
ENSG00000258274.1 -8.30460583528826 -2.16695413405403 -30.008326364446 8.03202418680235e-125 6.84516921618267e-123 274.477231544287 RP11-887P2.5 ENSG00000258274.1
ENSG00000269936.3 -5.74575764324853 4.01490666750436 -28.6805968064368 7.20528205017625e-117 4.48639092552811e-115 256.205783037356 RP11-394O4.5 ENSG00000269936.3
ENSG00000272502.1 3.49947837008825 -0.0123889613667836 28.5392639252866 9.32406671383224e-117 5.75864930038506e-115 255.941099328314 RP11-713M15.2 ENSG00000272502.1
ENSG00000267532.3 -3.41225233493826 1.04950777666079 -27.5687332629836 2.11251437298319e-111 1.09613628434893e-109 243.632700733441 MIR497HG ENSG00000267532.3
ENSG00000246090.6 -3.01835809365657 0.0911500775343739 -27.3499747611263 3.42117007099699e-110 1.70555390304115e-108 240.853087190464 RP11-696N14.1 ENSG00000246090.6
ENSG00000214548.14 -3.18518240727867 3.66222489948624 -27.330492563924 4.38444232961554e-110 2.17158012137289e-108 240.605459994008 MEG3 ENSG00000214548.14
ENSG00000261373.1 3.29736658181686 1.09301217494063 27.3172291707593 5.19118178683364e-110 2.56283100835428e-108 240.436869266413 VPS9D1-AS1 ENSG00000261373.1
ENSG00000261061.1 2.37653711700796 1.25423471000254 27.0777936562001 1.09613294298226e-108 5.17693747529238e-107 237.392444836074 RP11-303E16.2 ENSG00000261061.1
ENSG00000261490.1 -3.35721416117765 0.331098871567815 -26.9688992321668 4.39070744195175e-108 2.01141867948871e-106 236.007283441862 RP11-448G15.3 ENSG00000261490.1
ENSG00000203499.10 5.92369017671698 0.51629389709712 27.0582385682282 5.0223945370502e-108 2.28706354217017e-106 235.87998732003 FAM83H-AS1 ENSG00000203499.10
ENSG00000251615.3 -3.10944516339586 -0.0228705771791314 -26.8949661401999 1.12666818979627e-107 5.04027074350207e-106 235.06665105547 RP11-774O3.3 ENSG00000251615.3
ENSG00000279118.1 -2.89055738191773 -0.30456106077231 -26.7745209002197 5.23193770185781e-107 2.26742072846139e-105 233.533951897248 RP11-517I3.2 ENSG00000279118.1
ENSG00000265415.1 7.22959590817969 -2.46910829211623 26.7667851050172 5.77429017803157e-107 2.4883275894314e-105 233.435499423768 CTD-2510F5.4 ENSG00000265415.1
ENSG00000227372.10 -3.22173553493231 1.62024329297434 -26.3572933296062 1.071110772602e-104 4.26626497024635e-103 228.222085928143 TP73-AS1 ENSG00000227372.10
ENSG00000267454.5 -3.36493742296249 -0.610501337055274 -26.2684098387212 3.32951329711763e-104 1.29902110863246e-102 227.090053896643 ZNF582-AS1 ENSG00000267454.5
ENSG00000279026.1 -3.02416759131832 -0.563828017978157 -26.2097329448497 7.03992433786521e-104 2.72573720238918e-102 226.342669472897 RP3-414A15.12 ENSG00000279026.1
ENSG00000249669.7 -4.99524167342097 1.41835194915526 -26.2842312167081 8.64055797131367e-104 3.32857858213106e-102 226.144780643335 MIR143HG ENSG00000249669.7
ENSG00000272789.1 -5.1012864461653 1.26325128797956 -26.1659331651849 3.90883598258363e-103 1.47963505990852e-101 224.638280016784 RP11-286H15.1 ENSG00000272789.1
ENSG00000280734.2 2.39555476529415 0.263093934359387 25.8972472270185 3.79925828715885e-102 1.38323830956106e-100 222.361703951849 LINC01232 ENSG00000280734.2
ENSG00000241158.5 -5.75660704303166 -0.306156415267562 -25.8549466808414 1.46337891301833e-101 5.21585170983518e-100 221.020457415588 ADAMTS9-AS1 ENSG00000241158.5
