"ENSG_id","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000269416.4",-0.00053,1,"(0.867-1.15)","0","0.994",0,0.994,"LINC01224"
"ENSG00000275479.1",0.039,1,"(0.957-1.13)","0.85","0.357",0.85,0.357,"RP11-334C17.6"
"ENSG00000273055.1",0.14,1.1,"(0.972-1.36)","2.66","0.103",2.66,0.103,"CTB-13F3.1"
"ENSG00000269680.1",0.32,1.4,"(1.09-1.74)","7.2","0.00728",7.2,0.00728,"CTD-3128G10.6"
"ENSG00000271824.1",0.014,1,"(0.946-1.09)","0.16","0.691",0.16,0.691,"AC009014.3"
"ENSG00000237424.1",0.054,1.1,"(0.852-1.31)","0.24","0.622",0.24,0.622,"FOXD2-AS1"
"ENSG00000226824.5",0.2,1.2,"(0.979-1.53)","3.15","0.076",3.15,0.076,"RP4-756H11.3"
"ENSG00000255153.1",0.16,1.2,"(0.921-1.49)","1.66","0.197",1.66,0.197,"TOLLIP-AS1"
"ENSG00000261663.1",0.057,1.1,"(0.871-1.29)","0.33","0.566",0.33,0.566,"RP11-304L19.11"
"ENSG00000255774.1",-0.033,0.97,"(0.861-1.09)","0.31","0.575",0.31,0.575,"AP000439.3"
"ENSG00000239911.2",0.072,1.1,"(0.955-1.21)","1.44","0.23",1.44,0.23,"PRKAG2-AS1"
"ENSG00000272079.2",-0.042,0.96,"(0.826-1.11)","0.3","0.585",0.3,0.585,"LA16c-380H5.5"
"ENSG00000224870.5",0.019,1,"(0.708-1.47)","0.01","0.918",0.01,0.918,"RP4-758J18.2"
"ENSG00000270015.1",0.32,1.4,"(1.04-1.81)","5.08","0.0242",5.08,0.0242,"RP11-540B6.6"
"ENSG00000227719.1",0.13,1.1,"(0.961-1.35)","2.24","0.135",2.24,0.135,"AC006042.6"
"ENSG00000272335.1",0.056,1.1,"(0.837-1.34)","0.22","0.638",0.22,0.638,"RP11-53O19.3"
"ENSG00000256073.3",0.22,1.2,"(0.947-1.64)","2.48","0.116",2.48,0.116,"URB1-AS1"
"ENSG00000249042.4",-0.056,0.95,"(0.711-1.26)","0.15","0.702",0.15,0.702,"CTD-2015H6.3"
"ENSG00000245910.7",0.0099,1,"(0.764-1.34)","0","0.945",0,0.945,"SNHG6"
"ENSG00000215190.7",0.24,1.3,"(0.947-1.71)","2.57","0.109",2.57,0.109,"LINC00680"
"ENSG00000235280.2",0.13,1.1,"(0.949-1.36)","1.92","0.166",1.92,0.166,"MCF2L-AS1"
"ENSG00000273366.1",-0.069,0.93,"(0.781-1.12)","0.58","0.447",0.58,0.447,"CTA-989H11.1"
"ENSG00000273151.1",0.2,1.2,"(1.03-1.46)","5.25","0.022",5.25,0.022,"RP11-449P15.2"
"ENSG00000254166.1",0.012,1,"(0.88-1.16)","0.03","0.865",0.03,0.865,"CASC19"
"ENSG00000279207.1",-0.068,0.93,"(0.725-1.2)","0.27","0.601",0.27,0.601,"RP11-159D12.8"
"ENSG00000117242.7",-0.26,0.77,"(0.581-1.03)","3.16","0.0755",3.16,0.0755,"PINK1-AS"
"ENSG00000263335.1",-0.023,0.98,"(0.826-1.16)","0.07","0.787",0.07,0.787,"AF001548.5"
"ENSG00000272667.1",0.29,1.3,"(1-1.79)","3.97","0.0464",3.97,0.0464,"RP11-395A13.2"
"ENSG00000274213.1",0.016,1,"(0.874-1.18)","0.04","0.837",0.04,0.837,"RP11-670E13.6"
"ENSG00000237883.1",0.049,1.1,"(0.868-1.27)","0.25","0.614",0.25,0.614,"DGUOK-AS1"
"ENSG00000234072.1",0.19,1.2,"(0.92-1.58)","1.83","0.176",1.83,0.176,"AC074117.10"
"ENSG00000253716.4",0.14,1.2,"(0.917-1.44)","1.47","0.225",1.47,0.225,"RP13-582O9.5"
"ENSG00000272189.1",-0.096,0.91,"(0.707-1.17)","0.56","0.453",0.56,0.453,"RP3-325F22.5"
"ENSG00000238058.1",0.021,1,"(0.89-1.17)","0.09","0.761",0.09,0.761,"RP11-432J22.2"
"ENSG00000224152.1",-0.017,0.98,"(0.719-1.34)","0.01","0.916",0.01,0.916,"AC009506.1"
"ENSG00000267493.3",0.11,1.1,"(0.904-1.39)","1.07","0.3",1.07,0.3,"CIRBP-AS1"
"ENSG00000197180.2",0.089,1.1,"(0.861-1.39)","0.53","0.467",0.53,0.467,"CH17-340M24.3"
"ENSG00000254635.4",0.064,1.1,"(0.778-1.46)","0.16","0.691",0.16,0.691,"WAC-AS1"
"ENSG00000230061.2",-0.0088,0.99,"(0.92-1.07)","0.05","0.816",0.05,0.816,"TRPM2-AS"
"ENSG00000269640.4",0.094,1.1,"(0.937-1.29)","1.34","0.247",1.34,0.247,"CTD-2521M24.9"
"ENSG00000256537.3",0.1,1.1,"(0.711-1.73)","0.21","0.647",0.21,0.647,"RP11-785H5.1"
"ENSG00000240449.1",0.053,1.1,"(0.863-1.29)","0.27","0.603",0.27,0.603,"RP4-584D14.5"
"ENSG00000273014.1",-0.0068,0.99,"(0.867-1.14)","0.01","0.922",0.01,0.922,"RP11-225B17.2"
"ENSG00000224597.8",0.15,1.2,"(0.816-1.66)","0.71","0.4",0.71,0.4,"SVIL-AS1"
"ENSG00000273179.1",0.18,1.2,"(1.02-1.41)","4.81","0.0283",4.81,0.0283,"RP11-20I20.4"
"ENSG00000263004.1",-0.041,0.96,"(0.783-1.18)","0.16","0.689",0.16,0.689,"RP11-166P13.3"
"ENSG00000249395.2",0.1,1.1,"(1.01-1.22)","4.29","0.0384",4.29,0.0384,"CASC9"
"ENSG00000229334.1",-0.075,0.93,"(0.692-1.24)","0.25","0.616",0.25,0.616,"AC046143.3"
"ENSG00000260804.3",-0.13,0.87,"(0.695-1.1)","1.31","0.253",1.31,0.253,"PKI55"
"ENSG00000238123.1",-0.086,0.92,"(0.836-1.01)","3.24","0.072",3.24,0.072,"MID1IP1-AS1"
"ENSG00000196810.4",-0.22,0.8,"(0.528-1.22)","1.04","0.307",1.04,0.307,"CTBP1-AS2"
"ENSG00000253930.1",-0.075,0.93,"(0.824-1.04)","1.56","0.212",1.56,0.212,"RP11-1149O23.2"
"ENSG00000266962.2",0.19,1.2,"(0.862-1.69)","1.2","0.273",1.2,0.273,"RP11-400F19.6"
"ENSG00000271895.2",0.037,1,"(0.864-1.25)","0.15","0.694",0.15,0.694,"RP4-635E18.8"
"ENSG00000188185.10",0.13,1.1,"(0.914-1.41)","1.31","0.253",1.31,0.253,"LINC00265"
"ENSG00000267080.4",0.25,1.3,"(0.897-1.83)","1.85","0.173",1.85,0.173,"ASB16-AS1"
"ENSG00000260552.1",0.12,1.1,"(0.945-1.34)","1.75","0.186",1.75,0.186,"RP11-49I11.1"
"ENSG00000272644.1",-0.068,0.93,"(0.74-1.18)","0.33","0.565",0.33,0.565,"RP11-33O4.1"
"ENSG00000230082.1",0.0045,1,"(0.843-1.2)","0","0.96",0,0.96,"PRRT3-AS1"
"ENSG00000130600.14",0.077,1.1,"(0.996-1.17)","3.49","0.0616",3.49,0.0616,"H19"
"ENSG00000227070.1",-0.057,0.94,"(0.817-1.09)","0.6","0.44",0.6,0.44,"RP11-191G24.1"
"ENSG00000277662.1",0.024,1,"(0.903-1.16)","0.14","0.713",0.14,0.713,"RP11-74J13.9"
"ENSG00000254860.4",0.15,1.2,"(0.923-1.47)","1.64","0.201",1.64,0.201,"TMEM9B-AS1"
"ENSG00000273344.1",0.22,1.2,"(0.936-1.65)","2.26","0.133",2.26,0.133,"PAXIP1-AS1"
"ENSG00000251026.1",0.012,1,"(0.954-1.07)","0.15","0.698",0.15,0.698,"RP11-138J23.1"
"ENSG00000265688.1",0.0055,1,"(0.791-1.28)","0","0.964",0,0.964,"MAFG-AS1"
"ENSG00000238142.1",0.027,1,"(0.915-1.15)","0.21","0.647",0.21,0.647,"RP11-108M9.4"
