"ENSG_id","Symbol"
"ENSG00000243485.3","RP11-34P13.3"
"ENSG00000237613.2","FAM138A"
"ENSG00000238009.5","RP11-34P13.7"
"ENSG00000239945.1","RP11-34P13.8"
"ENSG00000239906.1","RP11-34P13.14"
"ENSG00000241860.5","RP11-34P13.13"
"ENSG00000241599.1","RP11-34P13.9"
"ENSG00000228463.7","AP006222.2"
"ENSG00000236743.1","RP5-857K21.15"
"ENSG00000236601.1","RP4-669L17.2"
"ENSG00000237094.10","RP4-669L17.10"
"ENSG00000231709.1","RP5-857K21.1"
"ENSG00000235146.2","RP5-857K21.2"
"ENSG00000239664.2","RP5-857K21.3"
"ENSG00000230021.6","RP5-857K21.4"
"ENSG00000223659.1","RP5-857K21.5"
"ENSG00000235373.1","RP11-206L10.3"
"ENSG00000240618.1","RP11-206L10.5"
"ENSG00000229905.1","RP11-206L10.4"
"ENSG00000228327.2","RP11-206L10.2"
"ENSG00000237491.7","RP11-206L10.9"
"ENSG00000177757.2","FAM87B"
"ENSG00000228794.7","LINC01128"
"ENSG00000225880.5","LINC00115"
"ENSG00000230368.2","FAM41C"
"ENSG00000272438.1","RP11-54O7.16"
"ENSG00000230699.2","RP11-54O7.1"
"ENSG00000241180.1","RP11-54O7.2"
"ENSG00000223764.2","RP11-54O7.3"
"ENSG00000272512.1","RP11-54O7.17"
"ENSG00000224969.1","RP11-54O7.11"
"ENSG00000242590.1","RP11-54O7.14"
"ENSG00000273443.1","RP11-54O7.18"
"ENSG00000223823.1","LINC01342"
"ENSG00000272141.1","RP11-465B22.8"
"ENSG00000205231.1","TTLL10-AS1"
"ENSG00000260179.1","RP5-902P8.12"
"ENSG00000230415.1","RP5-902P8.10"
"ENSG00000240731.1","RP5-890O3.9"
"ENSG00000224870.5","RP4-758J18.2"
"ENSG00000272455.1","RP4-758J18.13"
"ENSG00000225905.1","RP4-758J18.7"
"ENSG00000225285.1","RP4-758J18.10"
"ENSG00000215014.4","RP5-832C2.5"
"ENSG00000272106.1","RP11-345P4.9"
"ENSG00000272004.1","RP11-345P4.10"
"ENSG00000269737.1","RP11-345P4.7"
"ENSG00000268575.1","RP1-283E3.8"
"ENSG00000231050.1","RP1-140A9.1"
"ENSG00000233542.1","RP11-547D24.1"
"ENSG00000226969.1","RP11-547D24.3"
"ENSG00000271806.1","RP5-892K4.1"
