logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000062038.13 7.39973114625285 1.09195531302156 71.4577583161707 4.64201645073269e-310 7.08139609559271e-306 699.464645130185 CDH3
ENSG00000167767.13 6.98610193113429 -0.754089524058892 63.2104144924049 8.54214626940833e-280 6.5155220669912e-276 630.208232672005 KRT80
ENSG00000175832.12 6.44007206154453 2.07933988255701 61.4934169994645 3.92341715075942e-273 1.99505762116117e-269 614.949406509021 ETV4
ENSG00000163347.5 6.06467675263934 1.29705721168296 55.8526208605372 2.72477658060773e-250 1.03916166842927e-246 562.600972737948 CLDN1
ENSG00000105464.3 5.8271420968188 -0.794552141737263 54.9146874905531 2.40710558862964e-246 7.34407915090904e-243 553.552577933345 GRIN2D
ENSG00000170373.8 12.2984618783126 -2.46571206665132 51.9963710860149 8.75356901357045e-234 2.22559492170029e-230 524.743351960353 CST1
ENSG00000103888.15 4.99015515983536 1.46503904438318 47.0687490100792 1.43052060007666e-211 3.11751310773849e-208 473.767965871295 CEMIP
ENSG00000279473.1 10.8313890927682 -3.64285441758895 46.1920696906401 1.75122112454028e-207 3.33935978185775e-204 464.383804254354 AC009065.4
ENSG00000165072.9 -7.16480446688785 0.737268445979261 -44.9542713176716 5.64413479821971e-201 9.56680848298242e-198 449.44247844488 MAMDC2
ENSG00000165816.12 5.53780496980343 -0.64836434707792 44.6468389057277 3.54807793943383e-200 5.4125928966063e-197 447.608177539962 VWA2
ENSG00000165376.10 8.22783568305536 0.048300039379374 43.1474675711113 3.78289507251035e-192 5.24618766646776e-189 429.175647835674 CLDN2
ENSG00000137673.8 9.34331347626067 -0.427880145677371 42.685287991266 7.26282565826243e-190 9.23286711806611e-187 423.932184487537 MMP7
ENSG00000139515.5 8.78814756816932 -2.3267534320082 41.1411654197974 4.05361359694048e-183 4.75675964779439e-180 408.434049018787 PDX1
ENSG00000101255.10 4.10760819194451 2.49488935077958 40.0747229398882 8.48504211800294e-178 9.2456655364382e-175 396.211926348711 TRIB3
ENSG00000230910.2 -8.31781095361486 -2.52389721052038 -39.8763316477647 8.41759159255486e-177 8.56069064962829e-174 393.922721470258 RP3-525N10.2
ENSG00000198176.12 1.605923158667 5.13351927837052 39.408808413037 1.91356275832655e-174 1.82446249239197e-171 388.508939721798 TFDP1
ENSG00000181577.15 6.60889128922681 -0.460558805697272 39.368121705493 3.07241116748768e-174 2.7570371976485e-171 388.036534866043 C6orf223
ENSG00000078114.18 3.99083688861285 1.52407907680117 39.3622758910463 3.28875946841378e-174 2.78722364948067e-171 387.968643741667 NEBL
ENSG00000229237.2 10.0454068880097 -3.3160625353213 39.3323396440191 4.66014295914286e-174 3.7416042548276e-171 387.620909931371 HMGN1P37
ENSG00000147576.15 -5.16342466752141 1.12469496930716 -39.2666942071354 1.00112542988246e-173 7.63608421642843e-171 386.858002471384 ADHFE1
ENSG00000050344.8 3.84736526052194 3.54372549657831 39.2610997997202 1.06856303800793e-173 7.76234721181477e-171 386.792962019741 NFE2L3
ENSG00000164379.5 6.49658551394889 -0.669503788751369 38.9589376154881 3.63409275267459e-172 2.5199129519114e-169 383.274378411114 FOXQ1
ENSG00000088002.11 5.12432624372349 1.07262902694152 38.9298402012508 5.10666326429572e-172 3.38704991725353e-169 382.934963350062 SULT2B1
ENSG00000247844.1 8.34765892754176 -2.67763756291617 38.9237192782571 5.4855686624085e-172 3.48676458104341e-169 382.863551049858 CCAT1
ENSG00000138028.14 4.21120451077653 1.62601635585551 38.7086479386245 6.8026835525663e-171 4.15099750377596e-168 380.351455235876 CGREF1
ENSG00000164283.12 6.72000858997146 -1.93914832187196 38.6392980071769 1.53384384942089e-170 8.99953381650601e-168 379.540237393884 ESM1
