logrank.pvalue ENSG_id Symbol
ENSG00000269416.4 0.766333548946141 ENSG00000269416.4 LINC01224
ENSG00000275479.1 0.548343822753715 ENSG00000275479.1 RP11-334C17.6
ENSG00000273055.1 0.205728430783876 ENSG00000273055.1 CTB-13F3.1
ENSG00000269680.1 0.0587955651726129 ENSG00000269680.1 CTD-3128G10.6
ENSG00000271824.1 0.636108561260793 ENSG00000271824.1 AC009014.3
ENSG00000237424.1 0.62855276451519 ENSG00000237424.1 FOXD2-AS1
ENSG00000226824.5 0.0127127422767011 ENSG00000226824.5 RP4-756H11.3
ENSG00000255153.1 0.232564139737367 ENSG00000255153.1 TOLLIP-AS1
ENSG00000261663.1 0.363513388921026 ENSG00000261663.1 RP11-304L19.11
ENSG00000255774.1 0.363294891426712 ENSG00000255774.1 AP000439.3
ENSG00000239911.2 0.802560713275197 ENSG00000239911.2 PRKAG2-AS1
ENSG00000272079.2 0.343538175122809 ENSG00000272079.2 LA16c-380H5.5
ENSG00000224870.5 0.666293261596387 ENSG00000224870.5 RP4-758J18.2
ENSG00000270015.1 0.0502405215408508 ENSG00000270015.1 RP11-540B6.6
ENSG00000227719.1 0.377680731568029 ENSG00000227719.1 AC006042.6
ENSG00000272335.1 0.440578619036393 ENSG00000272335.1 RP11-53O19.3
ENSG00000256073.3 0.869243734192081 ENSG00000256073.3 URB1-AS1
ENSG00000249042.4 0.800544611508169 ENSG00000249042.4 CTD-2015H6.3
ENSG00000245910.7 0.437090436081229 ENSG00000245910.7 SNHG6
ENSG00000215190.7 0.315149414158639 ENSG00000215190.7 LINC00680
ENSG00000235280.2 0.152150718249502 ENSG00000235280.2 MCF2L-AS1
ENSG00000273366.1 0.0248630931519713 ENSG00000273366.1 CTA-989H11.1
ENSG00000273151.1 0.03161546728024 ENSG00000273151.1 RP11-449P15.2
ENSG00000254166.1 0.630037494826846 ENSG00000254166.1 CASC19
ENSG00000279207.1 0.616508761712413 ENSG00000279207.1 RP11-159D12.8
ENSG00000117242.7 0.100823635982323 ENSG00000117242.7 PINK1-AS
ENSG00000263335.1 0.700709980835614 ENSG00000263335.1 AF001548.5
ENSG00000272667.1 0.250986376261188 ENSG00000272667.1 RP11-395A13.2
ENSG00000274213.1 0.416489859684441 ENSG00000274213.1 RP11-670E13.6
ENSG00000237883.1 0.544225042788143 ENSG00000237883.1 DGUOK-AS1
ENSG00000234072.1 0.211029174489948 ENSG00000234072.1 AC074117.10
ENSG00000253716.4 0.266628285742566 ENSG00000253716.4 RP13-582O9.5
ENSG00000272189.1 0.924257052708067 ENSG00000272189.1 RP3-325F22.5
ENSG00000238058.1 0.750378105284552 ENSG00000238058.1 RP11-432J22.2
ENSG00000224152.1 0.591909833843832 ENSG00000224152.1 AC009506.1
ENSG00000267493.3 0.144024227487681 ENSG00000267493.3 CIRBP-AS1
